 2            test
step     q/Q                v/V
 4  .1938260197639465  7.534787354230622D-02 
 12  9.493505954742432D-02  .1364581266461687 
 16  .2565817832946777  .1404402674588142 
 24  .1295479536056519  .1647619955184609 
 28  .2841368317604065  .1674028449570015 
 36  .1485234498977661  .1826973606269759 
 40  .3003595471382141  .1845063765715564 
 48  .1608878374099731  .1954847412933065 
 52  .3113328218460083  .1967884656923311 
 60  .1697511672973633  .2052476578313389 
 64  .3193818926811218  .2062245646264634 
 72  .1765016913414001  .213044162684214 
 76  .3256084322929382  .2137976482341115 
 84  .181863009929657  .2194718417415039 
 88  .3306095004081726  .2200657603308965 
 96  .1862539052963257  .224898807345851 
 100  .3347402215003967  .2253746456748049 
 108  .1899353861808777  .2295662682269854 
 112  .3382267355918884  .2299523973387174 
 120  .1930798292160034  .2336403318977593 
